Formato,Protagonismo do produto,Seguidores,Taxa de engajamento perfil,Previsão de impressões,Variação Views,Laudo,Count acertos microcomunidades
Reels,,8.200.000,"0,91%",61.800,"21,31%",Mundo ideal,0
Reels,,13.300.000,"0,90%",75.360,"6566,48%",Viral,0
Reels,,14.600.000,"5,07%",468.050,"22,29%",Mundo ideal,0
Reels,,6.200.000,"0,66%",14.678,"0,76%",Dentro do esperado,0
Reels,,14.600.000,"5,07%",468.050,"26,13%",Mundo ideal,0
Reels,,8.200.000,"0,91%",61.800,"7,32%",Dentro do esperado,0
Reels,,14.600.000,"5,07%",468.050,"71,90%",Mundo ideal,0
Reels,,14.700.000,"0,84%",80.370,"12,53%",Dentro do esperado,0
TikTok,1,3.090.000,2%,74.620,"-71,86%",Abaixo do esperado,2
Reels,,14.600.000,"5,07%",468.050,"80,61%",Mundo ideal,0
Reels,,8.200.000,"0,91%",61.800,"10,88%",Dentro do esperado,0
TikTok,3,2.020.000,"0,58%",17.010,"-54,67%",Abaixo do esperado,1
TikTok,3,2.020.000,"0,58%",17.010,"-23,57%",Abaixo do esperado,0
TikTok,2,21.900.000,"1,09%",221.490,"-16,93%",Abaixo do esperado,0
TikTok,,3.090.000,2%,74.620,"15,58%",Mundo ideal,0
Reels,,8.200.000,"0,91%",61.800,"14,33%",Dentro do esperado,0
Reels,,21.600.000,"0,43%",46.970,"11,45%",Dentro do esperado,0
Reels,,10.500.000,"2,24%",141.040,"35,60%",Mundo ideal,0
Reels,,10.500.000,"2,24%",141.040,"36,04%",Mundo ideal,0
Reels,,14.700.000,"0,84%",80.370,"22,45%",Mundo ideal,0
Reels,,14.600.000,"5,07%",468.050,"136,59%",Viral,0
TikTok,5,3.090.000,2%,74.620,"-14,10%",Dentro do esperado,0
TikTok,,7.700.000,"0,61%",92.880,"29,21%",Mundo ideal,0
Reels,,8.200.000,"0,91%",61.800,"21,31%",Mundo ideal,0
Reels,,14.700.000,"0,84%",80.370,"29,45%",Mundo ideal,0
Reels,,10.500.000,"2,24%",141.040,"56,14%",Mundo ideal,0
TikTok,,3.090.000,2%,74.620,"30,41%",Mundo ideal,0
TikTok,4,220.000,"1,35%",3.220,"6,24%",Dentro do esperado,0
TikTok,2,2.420.000,"2,25%",51.480,"41,80%",Mundo ideal,0
Reels,,10.500.000,"2,24%",141.040,"70,20%",Mundo ideal,0
Reels,4,21.600.000,"0,43%",46.970,"98,06%",Mundo ideal,0
Repost TikTok,4,22.220.000,"0,68%",87.500,"126,29%",Viral,0
TikTok,,3.090.000,2%,74.620,"40,78%",Mundo ideal,0
TikTok,,4.800.000,"1,57%",119.700,"65,41%",Mundo ideal,0
Reels,,10.300.000,"0,44%",15.570,"8,53%",Dentro do esperado,0
Reels,,5.600.000,"0,93%",22.000,"12,26%",Dentro do esperado,0
Reels,,5.600.000,"0,93%",22.000,"13,02%",Dentro do esperado,0
Reels,,5.600.000,"0,93%",22.000,"13,54%",Dentro do esperado,0
TikTok,5,6.900.000,"1,51%",43.940,"27,29%",Mundo ideal,0
Reels,,5.600.000,"0,93%",22.000,"14,02%",Dentro do esperado,0
Repost TikTok,,6.200.000,"0,66%",14.678,"9,53%",Dentro do esperado,0
TikTok,3,3.090.000,2%,74.620,"49,75%",Mundo ideal,0
Repost TikTok,,6.200.000,"0,66%",14.678,"10,41%",Dentro do esperado,0
TikTok,3,6.900.000,"1,51%",43.940,"200,41%",Viral,0
TikTok,,2.020.000,"0,58%",17.010,"13,29%",Dentro do esperado,0
TikTok,,3.090.000,2%,74.620,"58,30%",Mundo ideal,0
Reels,,10.300.000,"0,44%",15.570,"12,16%",Dentro do esperado,0
TikTok,,2.020.000,"0,58%",17.010,"13,61%",Dentro do esperado,0
TikTok,,21.900.000,"1,09%",221.490,"183,05%",Viral,0
Reels,,5.600.000,"0,93%",22.000,"19,03%",Mundo ideal,0
TikTok,5,3.090.000,2%,74.620,"65,46%",Mundo ideal,0
TikTok,,6.900.000,"1,51%",43.940,"41,07%",Mundo ideal,0
Reels,,6.200.000,"0,66%",14.678,"13,72%",Dentro do esperado,0
TikTok,,6.900.000,"1,51%",43.940,"43,08%",Mundo ideal,0
Reels,,10.300.000,"0,44%",15.570,"15,57%",Mundo ideal,0
Reels,,10.300.000,"0,44%",15.570,"16,31%",Mundo ideal,0
Repost TikTok,5,6.200.000,"0,66%",14.678,"213,39%",Viral,1
TikTok,,2.020.000,"0,58%",17.010,"18,49%",Mundo ideal,0
TikTok,,5.190.000,"0,30%",45.320,"51,68%",Mundo ideal,0
Repost TikTok,,6.200.000,"0,66%",14.678,"18,58%",Mundo ideal,0
TikTok,4,6.900.000,"1,51%",43.940,"56,19%",Mundo ideal,0
Repost TikTok,4,21.600.000,"0,43%",46.970,"600,45%",Viral,0
TikTok,,6.900.000,"1,51%",43.940,"61,03%",Mundo ideal,0
TikTok,3,6.640.000,"0,06%",140.360,"197,13%",Viral,0
TikTok,,6.900.000,"1,51%",43.940,"62,77%",Mundo ideal,0
Repost TikTok,3,13.300.000,"0,90%",75.360,"743,95%",Viral,0
TikTok,2,556.000,"2,64%",40.920,"1356,50%",Viral,1
TikTok,,6.640.000,"0,06%",140.360,"222,79%",Viral,0
Reels,,128.700,,10.368,"18,55%",Mundo ideal,0
TikTok,,322.000,,0,"0,00%",Dentro do esperado,0
TikTok,,2.020.000,"0,58%",17.010,"35,44%",Mundo ideal,0
TikTok,1,6.900.000,"1,51%",43.940,"2858,58%",Viral,0
TikTok,3,6.640.000,"0,06%",140.360,"311,22%",Viral,0
TikTok,,5.190.000,"0,30%",45.320,"100,71%",Viral,0
TikTok,,5.190.000,"0,30%",45.320,"107,90%",Viral,0
TikTok,,613.000,"0,02%",6.545,"16,36%",Mundo ideal,0
TikTok,3,6.640.000,"0,06%",140.360,"389,89%",Viral,0
Reels,,6.200.000,"0,66%",14.678,"43,42%",Mundo ideal,0
Reels,,6.200.000,"0,66%",14.678,"46,72%",Mundo ideal,0
TikTok,,220.000,"1,35%",3.220,"12,24%",Dentro do esperado,0
TikTok,,6.640.000,"0,06%",140.360,"539,85%",Viral,0
TikTok,,322.000,,0,"0,00%",Dentro do esperado,0
Reels,3,6.200.000,"0,66%",14.678,"3558,44%",Viral,1
TikTok,,3.090.000,2%,74.620,"30,41%",Mundo ideal,0
Reels,2,6.200.000,"0,66%",14.678,"3687,88%",Viral,1
TikTok,4,613.000,"0,02%",6.545,"32,89%",Mundo ideal,0
Reels,,128.700,,10.368,"58,19%",Mundo ideal,0
TikTok,,220.000,"1,35%",3.220,"21,47%",Mundo ideal,0
TikTok,,220.000,"1,35%",3.220,"38,01%",Mundo ideal,0
Reels,3,1.400.000,"0,23%",2.970,"7273,74%",Viral,1
TikTok,,613.000,"0,02%",6.545,"101,08%",Viral,0
TikTok,4,220.000,"1,35%",3.220,"69,31%",Mundo ideal,1
TikTok,,5.190.000,"0,30%",45.320,"1240,28%",Viral,0
TikTok,,220.000,"1,35%",3.220,"89,12%",Mundo ideal,0
Reels,4,1.400.000,"0,23%",2.970,"7408,42%",Viral,0
Reels,2,5.600.000,"0,93%",22.000,"8652,83%",Viral,1
TikTok,,322.000,,0,#DIV/0!,#DIV/0!,0
Reels,,10.500.000,"2,24%",141.040,#DIV/0!,#DIV/0!,0
Reels,,6.200.000,"0,66%",14.678,#DIV/0!,#DIV/0!,0
Reels,,10.300.000,"0,44%",15.570,#DIV/0!,#DIV/0!,0
Reels,,128.700,,10.368,#DIV/0!,#DIV/0!,0